TIPO LINEA;TIPO;LETRA;NUMERO FORMATEADO;FECHA;CAEA NRO;CAEA VTO;COD CLIENTE;CUIT;RAZON SOCIAL;RESUMEN;TIPO PEDIDO;CODIGO BARRA;DESCRIPCION;PCIO VTA PUB;BASE EXCENTA+GRAVADO;IVA;OTROS IMPUESTOS;IMPORTE TOTAL;UNIDADES;LINEAS;CLASIF PRODUCTO;LABORATORIO;CONDICION IVA;PORC IVA;PCIO UNITARIO
Detalle;FC;A;1114-08132803;;;;;;;;;7791171102053;CALMADOR 100MG GOTAS X10ML;325715.2;208907.02;0;3133.61;212040.63;20;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;10445.351
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001028;TANSILOPROST RETARD COM.RE X60;200546.7;128626.51;0;1929.4;130555.91;3;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;42875.50333
Detalle;FC;A;1114-08132803;;;;;;;;;7791171101476;REGULANE COMPR. X20;363937.6;233421.82;0;3501.33;236923.15;40;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;5835.5455
Detalle;FC;A;1114-08132803;;;;;;;;;7791171102565;CALMADOR DEX COM.RE X20;1198770;768865.97;0;11532.99;780398.96;60;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;12814.43283
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001523;PISONO 10MG COM.RE X30;837754.08;537318.14;0;8059.77;545377.91;16;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;33582.38375
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000267;MESOTEROL 10MG COM.RE X30;86235.05;55309.38;0;829.64;56139.02;5;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;11061.876
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001417;COX-QUIN 90MG COM.RE X15;203170.4;130309.27;0;1954.64;132263.91;10;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;13030.927
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001929;LISTAFLEX FORTE COMPR. X30;54181.88;34751.14;0;521.27;35272.41;2;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;17375.57
Cabecera;FC;A;1114-08132805;01/04/2025;C.A.E.A. Nro.: 35135279779015;Fecha de Vencimiento: 15/04/2025;4793126;30-70882226-0;NUEVA VILLA SRL;13;OFERTA TRANSFER ;;;;1058357.29;13532.7;17808.61;1089698.6;213;13;;;;;
Detalle;FC;A;1114-08132805;;;;;;;;;7795371459115;DICLOGESIC PLUS B12 COM.RE X10;191400;99000;0;1485;100485;22;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;4500
Detalle;FC;A;1114-08132805;;;;;;;;;7795371459115;DICLOGESIC PLUS B12 COM.RE X10;435000;225000;0;3375;228375;50;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;4500
Detalle;FC;A;1114-08132805;;;;;;;;;7795371458163;CALCIOCIT COMPR. X30;92999.88;54517.16;0;817.76;55334.92;12;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;4543.09667
Detalle;FC;A;1114-08132805;;;;;;;;;7795371000393;PRINIL 4MG COM.RE X30;117450.09;72900;0;1093.5;73993.5;9;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;8100
Detalle;FC;A;1114-08132805;;;;;;;;;7795371458309;VERBORIL 100MG COM.RE X16;172000;88965.48;0;1334.48;90299.96;16;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;5560.3425
